"Rybak, J.",189,1971,2015
"Schwartz, P.",332,1954,2015
"Kozak, M.",122,1970,2016
"Vaskova, R.",0,0,0
"Kavka, J.",5,2007,2013
"Arregui, I.",78,1997,2016
"Asensio Ramos, A.",158,2000,2016
"Martínez-Pillet, V.",192,1990,2015
"Collados, M.",281,1984,2016
"Sanchez-Almeida, J.",289,1979,2016
"De Vicente, Á.",15,2005,2016
"Fabian, D.",98,1956,2015
"Khomenko, E.",111,1999,2016
"Luna, M.",102,1991,2016
"Manso Sainz, R.",77,1999,2016
"Martínez González, M.J.",47,2002,2015
"Moreno Insertis, F.",111,1983,2016
"Orozco Suárez, D.",50,2005,2016
"Ruíz Cobo, B.",96,1990,2015
"Vitas, N.",18,2003,2015
"Trujillo Bueno, J.",221,1986,2016
"Calvo Santamaría, I.",2,2013,2013
"del Pino Alemán, T.",4,2014,2015
"Pastor Yabar, A.",6,2014,2016
"Griñón Marin, A.B.",4,2013,2015
"Alsina Ballester, E.",0,0,0
"Vranjes, J.",169,1990,2016
"Cubas Armas, M.",0,0,0
"Pallé Manzano, P.",0,0,0
"Jiménez, A.",308,1963,2016
"Pérez Hernández, F.",106,1988,2016
"Roca Cortés, T.",208,1978,2016
"Régulo, C.",185,1986,2016
"Díaz Alfaro, M.",13,2011,2015
"Cid Tortuero, C.",0,0,0
"Palacios Hernandez, J.",0,0,0
"Rodriguez-Pacheco, J.",88,1990,2015
"Gómez Herrero, R.",157,1999,2016
"Blanco Ávalos, J.J.",3,2009,2014
"Firoz, K.A.",15,2010,2015
"Hidalgo, M.",193,1968,2016
"Guerreo, A.",0,0,0
"Saiz, E.",159,1977,2016
"Cerrato, Y.",37,1989,2016
"Sanahuja, B.",134,1975,2015
"Aran-Sensat, A.",0,0,0
"Agueda, N.",42,2003,2015
"Blanco Rodriguez, J.",15,2005,2015
"Sanchis Kilders, E.",6,1995,2013
"Domingo, V.",226,1959,2015
"Cabello, I.",21,2005,2015
"Ballester, J.L.",222,1981,2016
"Oliver, R.",497,1941,2016
"Carbonell, M.",32,1990,2015
"Terradas, J.",94,1996,2016
"Diaz, A.",500,1893,2016
"Zapior, M.",18,2007,2016
"Soler, R.",66,2003,2016
"Martínez-Gómez, D.",3,2014,2016
"Rial, S.",3,2010,2013
"Bellot Rubio, L.",192,1990,2016
"del Toro Iniesta, J.C.",109,1987,2016
"Esteban Pozuelo, S.",1,2015,2015
"Gosic, M.",10,2006,2016
"Requerey, I.",3,2014,2015
"Utz, D.",42,2008,2016
"Escobar, J.",93,1985,2015
"Muñoz, O.",125,1956,2016
"Casas Bou, A.",0,0,0
"España Navarro, J.J.",0,0,0
"Álvarez, D.",98,1971,2015
"Aparicio del Moral, B.",1,2015,2015
"Jiménez Balaguer, M.",0,0,0
"Cobos Carrascosa, J.P.",0,0,0
"Ferriz Mas, A.",56,1987,2014
"Girela Rejón, F.J.",0,0,0
"Herranz de la Revilla, M.L.",0,0,0
"Labrousse, P.",0,0,0
"López Jiménez, A.",27,1995,2015
"Molina Farrugia, B.",0,0,0
"Ramos Más, J.L.",0,0,0
"Scharmer, G.",134,1976,2014
"de la Cruz-Rodriguez, J.",38,2008,2015
"Kiselman, D.",65,1990,2015
"Löfdahl, M.",66,1991,2016
"Sütterlin, P.",73,1971,2015
"Pazira, H.",1,2015,2015
"Joshi, J.",323,1956,2016
"Robustini, C.",1,2015,2015
"Libbrecht, T.",5,2014,2015
"Leenaarts, J.",55,2004,2016
"Sliepen, G.",20,2006,2013
"Hillberg, T.",5,2006,2015
"Fox, L.",107,1941,2015
"Sukhoroukov, A.",0,0,0
"Björgen, J.",0,0,0
"Brandenburg, A.",500,1986,2016
"Barklem, P.",129,1997,2016
"Gustafsson, B.",486,1959,2016
"Kochukhov, O.",271,1998,2016
"Stenflo, J.O.",349,1966,2016
"Holzreuter, R.",25,1988,2015
"Belluzi, L.",0,0,0
"Bianda, M.",100,1991,2016
"Carlin, E.S.",7,1962,2015
"Ramelli, R.",194,1999,2016
"Finsterle, W.",67,1996,2014
"Haberreiter, M.",74,2002,2015
"Guerreiro, N.",12,2006,2015
"Schmutz, W.",360,1979,2016
"Tagirov, R.",62,1959,2015
"von Steiger, R.",217,1989,2016
"Kleint, L.",56,2007,2016
"Benz, A.",500,1971,2016
"Li, X.",500,1974,2016
"Morgan, H.",456,1883,2016
"Taroyan, Y.",45,1999,2016
"Alzate, N.",8,2007,2016
"Hutton, J.",199,1821,2015
"Doyle, G.",79,1948,2016
"Madjarska, M.",88,1993,2016
"Bagnulo, S.",307,1993,2016
"Shetye, J.",3,2015,2016
"Yeates, A.",79,1865,2016
"Unruh, Y.",125,1992,2016
"Ball, W.",155,1665,2016
"Dasi Espuig, M.",16,2010,2015
"Culhane, L.",21,1982,2007
"Harra, L.",230,1991,2016
"Matthews, S.",252,1931,2016
"Green, L.",384,1934,2016
"Van Driel-Gesztelyi, L.",338,1977,2016
"Williams, D.",500,1863,2016
"Baker, D.",500,1890,2015
"Long, D.",500,1953,2016
"Valori, G.",31,2000,2015
"Pérez-Suárez, D.",30,2008,2015
"Yardley, S.",2,2013,2015
"Chaplin, W.",396,1898,2016
"Elsworth, Y.",365,1973,2016
"Mathioudakis, M.",243,1989,2016
"Jess, D.",63,1947,2016
"Keenan, F.",500,1982,2015
"Keys, P.",31,1936,2016
"Kuridze, D.",15,2005,2016
"Henriques, V.",66,1987,2016
"Hewitt, R.",199,1936,2015
"Reid, A.",424,1744,2016
"Krihna Prasad, S.",0,0,0
"Reardon, K.",167,1987,2016
"McElroy, S.",18,1978,2016
"Giunta, A.",127,1986,2015
"Fludra, A.",139,1984,2015
"Summers, H.",244,1913,2016
"O'Mullane, M.",114,1995,2015
"Del Zanna, G.",245,1992,2016
"Mason, H.",345,1927,2016
"Hillier, A.",196,1986,2016
"Polito, V.",16,2010,2016
"Mulay, S.",17,1988,2016
"Proctor, M.",332,1892,2016
"Dubik, J.",0,0,0
"Edmunds, W.",83,1895,2015
"Mulay, S.",17,1988,2016
"Marsh, M.",305,1901,2016
"Walsh, R.",500,1966,2016
"Bewsher, D.",55,2001,2015
"Brown, D.",500,1901,2015
"Dalla, S.",95,1993,2015
"Laitinen, T.",173,1990,2015
"Lee, D.",500,1963,2015
"Swalwell, B.",0,0,0
"Walker, A.",500,1892,2016
"Zelina, P.",1,2014,2014
"Berger, M.",500,1862,2016
"Foullon, C.",85,1999,2015
"de Patoul, J.",13,2005,2015
"Kieokaew, R.",0,0,0
"Diver, D.",78,1989,2016
"Fletcher, L.",500,1881,2016
"Hannah, I.",80,1974,2016
"Jeffrey, N.",20,2010,2016
"Labrosse, N.",53,1999,2016
"Reid, H.",122,1885,2015
"Levens, P.",3,2015,2016
"Simoes, P.",67,1993,2016
"Brown, S.",500,1892,2016
"Kerr, G.",90,1933,2015
"MacKinnon, A.",500,1971,2015
"Wright, P.",500,1932,2015
"von Fay-Siebenburgen, R.",0,0,0
"Fedun, V.",89,1998,2016
"Rehka, J.",0,0,0
"Ballai, I.",70,1998,2015
"Freij, N.",6,2014,2016
"Korsos, M.",7,2007,2015
"Nelson, C.",500,1934,2016
"Sharma, R.",500,1956,2016
"Verth, G.",42,2007,2016
"Kiss, T.",324,1979,2016
"Bennet, S.",4,2002,2012
"Archontis, V.",65,1999,2015
"De Moortel, I.",94,1999,2016
"Hood, A.",327,1954,2016
"Mackay, D.",463,1862,2016
"Parnell, C.",144,1967,2016
"Neukirch, T.",128,1988,2016
"Priest, E.",500,1971,2016
"Wright, A.",500,1861,2015
"Pagano, P.",212,1983,2016
"Antolin, P.",41,2008,2016
"Conlon, T.",75,1964,2015
"Stevenson, J.",409,1755,2016
"Threlfall, J.",17,1936,2016
"Wilson, F.",500,1812,2016
"Stanislav, G.",0,0,0
"Johnston, C.",382,1935,2016
"O'Hara, J.",174,1950,2016
"Elsden, T.",2,2012,2015
"Hodgson, J.",175,1704,2016
"Lee, E.J.",500,1936,2015
"Allanson, O.",3,2012,2015
"Sturrock, Z.",3,2013,2015
"Borissov, A.",230,1993,2016
"Williams, B.",500,1863,2016
"Goldstraw, E.",0,0,0
"Howson, T.",10,1980,2014
"McNeill, C.",59,1958,2015
"Nakariakov, V.",261,1991,2016
"Verwichte, E.",87,1992,2015
"Arber, T.",106,1989,2016
"Broomhall, A.",60,2006,2016
"Brady, C.",44,1969,2016
"Morton, R.",348,1815,2016
"Botha, G.",42,1995,2015
"McLaughlin, J.",376,1944,2016
"Régnier, S.",147,1799,2015
"Scullion, E.",24,2009,2016
"Shelyag, S.",62,2001,2016
"Zharkova, V.",210,1977,2016
"Dobranskis, R.",8,2014,2016
"Druett, M.",1,2014,2014
"Mooroogen, K.",0,0,0
"Snow, B.",34,1892,2015
"Shchukina, N.",115,1981,2016
"Sukhorukov, A.",500,1966,2016
"Kondrashova, N.",283,1970,2016
"Pasechnik, M.",42,1963,2014
"Chornogor, S.",19,2000,2013
"Andrienko, O.",12,1998,2011
"Kostik, R.",56,1966,2016
"Olshevsky, V.",76,1989,2016
"Osipov, S.",94,1966,2016
"Vasiljeva, I.",16,1996,2009
"Andriiets, O.",0,0,0
"Molochko, O.",0,0,0
"Lozitsky, V.G.",35,1969,2016
"Gopasuyk, O.",0,0,0
